,Unnamed: 0,date,number of rooms,security level of the community,residence space,building space,basement space,aboveground space,noise level,waterfront,view,air quality level,building year,decoration year,district,city,zip code,region,exchange rate,lat,lng,is_renovated,total cost,label
0,0,2014/5/2 0:00,5,2.5,2820,67518,0,2820,2,0,0,3,1979,2014,23525 SE 32nd Way,Issaquah,WA 98029,USA,6.784829586,47.57946,-122.0252865,1,227425.2764,0
1,1,2014/5/2 0:00,2,1,1210,9400,0,1210,1,0,0,2,1949,0,7542 21st Ave SW,Seattle,WA 98106,USA,6.24312897,47.53423,-122.3601838,0,194002.1791,0
2,2,2014/5/2 0:00,4,2.5,2200,9397,0,2200,2,0,0,3,1987,2000,5214 S 292nd St,Auburn,WA 98001,USA,6.010127234,47.3405612,-122.2690622,1,223736.5015,0
3,3,2014/5/2 0:00,3,1.5,1200,9720,0,1200,1,0,0,4,1965,0,14034 SE 201st St,Kent,WA 98042,USA,7.560375075,47.4225222,-122.1531163,0,178112.4276,0
4,4,2014/5/2 0:00,3,1.75,1370,5858,0,1370,1,0,0,3,1987,2000,1605 S 245th Pl,Des Moines,WA 98198,USA,6.543940818,47.381568,-122.312904,1,252871.7691,0
5,5,2014/5/2 0:00,4,2,1480,8625,0,1480,1,0,0,4,1974,0,2019 Aberdeen Pl SE,Renton,WA 98055,USA,6.685126872,47.4620172,-122.1927955,0,256904.5271,0
6,6,2014/5/2 0:00,3,1.5,1180,10277,0,1180,1,0,0,3,1983,2009,12425 415th Ave SE,North Bend,WA 98045,USA,7.796227913,47.4880635,-121.7870555,1,200001.7584,0
7,7,2014/5/2 0:00,3,2.5,2090,10834,730,1360,1,0,0,4,1987,0,27736 23rd Avenue South,Federal Way,WA 98003,USA,7.628943769,47.3535951,-122.3032528,0,269037.6299,0
8,8,2014/5/2 0:00,3,3,1850,19966,760,1090,1,0,0,4,1992,0,23017 SE 281st Ct,Maple Valley,WA 98038,USA,7.825561964,47.3492918,-122.0340468,0,272738.9883,0
9,9,2014/5/2 0:00,2,2.5,1630,1368,350,1280,2,0,0,3,2009,0,5944-6082 Delridge Way SW,Seattle,WA 98106,USA,7.553219422,47.5495409,-122.3622773,0,294286.1419,0
10,10,2014/5/2 0:00,3,2.5,2540,5050,0,2540,2,0,0,3,2006,0,29734 215th Terrace SE,Kent,WA 98042,USA,6.911986808,47.3358669,-122.0549459,0,275658.8737,0
11,11,2014/5/2 0:00,2,1,850,6174,0,850,1,0,0,4,1950,1983,121 NE 147th St,Shoreline,WA 98155,USA,6.249731803,47.7351897,-122.3279333,1,307279.1379,1
12,12,2014/5/2 0:00,3,1,1160,9180,0,1160,1,0,0,3,1968,1997,15804 198th Pl NE,Woodinville,WA 98077,USA,7.301034319,47.7426723,-122.0722997,1,283165.2232,0
13,13,2014/5/2 0:00,3,2.25,1580,16215,0,1580,1,0,0,4,1978,2000,4460 332nd Ave SE,Fall City,WA 98024,USA,7.1345454,47.564273,-121.8968897,1,325313.5545,1
14,14,2014/5/2 0:00,2,2,1350,2560,0,1350,1,0,0,3,1976,0,2616 174th Ave NE,Redmond,WA 98052,USA,6.740098473,47.6343833,-122.1074261,0,322876.8465,1
15,15,2014/5/2 0:00,3,2,1930,11947,0,1930,1,0,0,4,1966,0,26206-26214 143rd Ave SE,Kent,WA 98042,USA,7.405652509,47.3673889,-122.1505249,0,297912.0631,0
